fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Marcin Prachnio,Mike Rodriguez,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/5d9a3bfdcd28abb8,205.0,74,Orthodox,5.57,54,3.24,54,0.15,20,53,0.0,205.0,82,Southpaw,4.35,53,4.24,41,0.0,0,37,0.0,17,8,0,11,7,0,75.0,76.0,36.0,36.0
Mariya Agapova,Shana Dobson,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/37a6fc5e69a7932d,125.0,68,Southpaw,4.43,54,3.62,52,0.55,66,45,0.8,125.0,69,Orthodox,3.34,37,5.2,50,0.84,50,14,0.0,10,5,0,4,5,0,66.0,66.0,27.0,35.0
Youssef Zalal,Peter Barrett,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/e255fc129f225a55,145.0,72,Switch,3.07,50,1.8,66,2.09,30,59,1.3,145.0,73,Southpaw,4.18,61,4.32,42,1.39,22,66,0.0,17,5,1,11,5,0,70.0,70.0,28.0,38.0
Pedro Munhoz,Frankie Edgar,UFC Fight Night: Munhoz vs. Edgar,fighter2,http://ufcstats.com/fight-details/dfe14e13aa727a0c,135.0,65,Orthodox,5.38,41,6.29,55,0.48,16,82,0.5,135.0,68,Orthodox,3.77,40,2.82,65,2.29,31,65,0.3,20,10,0,23,11,1,66.0,66.0,38.0,43.0
Andrew Sanchez,Wellington Turman,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/e8f4e8ff49678b44,185.0,74,Orthodox,4.3,43,5.1,50,2.55,36,100,0.0,170.0,72,Orthodox,3.23,51,4.17,45,1.55,20,42,0.8,13,7,0,18,8,0,73.0,72.0,36.0,28.0
Tim Means,Laureano Staropoli,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/6f1892ed71d943d7,170.0,75,Orthodox,5.04,49,3.65,60,1.14,40,64,0.2,185.0,71,Orthodox,3.31,34,3.73,54,0.83,26,48,0.0,33,17,1,9,5,0,74.0,73.0,41.0,32.0
Maki Pitolo,Darren Stewart,UFC Fight Night: Lewis vs. Oleinik,fighter2,http://ufcstats.com/fight-details/c2ddadfa1a1056be,185.0,75,Orthodox,4.1,44,3.93,55,2.24,52,50,0.8,205.0,74,Orthodox,3.05,45,3.29,48,1.75,45,67,0.1,13,9,0,12,8,0,70.0,72.0,34.0,34.0
Kevin Holland,Joaquin Buckley,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/05f6459d1f3ed13f,170.0,81,Orthodox,4.22,49,3.22,50,0.82,38,53,0.6,170.0,76,Southpaw,4.22,37,3.13,59,1.78,45,73,0.1,26,13,0,21,6,0,75.0,70.0,32.0,30.0
Beneil Dariush,Scott Holtzman,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/cfb189e326553f0a,155.0,72,Southpaw,3.78,48,2.65,57,1.9,34,80,0.9,155.0,69,Orthodox,4.32,47,3.66,55,1.88,56,67,0.2,22,6,1,14,6,0,70.0,69.0,35.0,41.0
Yana Santos,Julija Stoliarenko,UFC Fight Night: Lewis vs. Oleinik,fighter1,http://ufcstats.com/fight-details/ad62675e819e92fc,135.0,68,Orthodox,4.42,58,3.12,50,0.97,53,42,0.1,125.0,66,Orthodox,2.49,39,4.54,46,0.93,27,54,1.7,15,8,0,11,9,2,66.0,67.0,35.0,31.0
